text,intent
I want to visit Marina Bay Sands.,FindPlace
Book a flight to Tokyo next Friday.,BookFlight
What time does the National Museum open?,AskOpeningHour
Show me hotels near Sentosa.,SearchHotel
Plan a 3-day food tour in Singapore.,PlanItinerary
Plan a 3-day trip to Paris.,PlanItinerary
Can you help me organize a weekend in Rome?,PlanItinerary
Suggest a 2-day itinerary for Tokyo.,PlanItinerary
What can I do in Bali for 4 days?,PlanItinerary
Plan my honeymoon in Venice.,PlanItinerary
Recommend a 5-day trip to Kyoto.,PlanItinerary
I want a beach getaway plan for Phuket.,PlanItinerary
Help me plan a cultural trip to Istanbul.,PlanItinerary
What?? a good itinerary for 3 days in Seoul?,PlanItinerary
Show me a 4-day travel plan for Singapore.,PlanItinerary
Design a short trip to Bangkok.,PlanItinerary
What should I do in Dubai for 2 days?,PlanItinerary
Help me explore Amsterdam in 3 days.,PlanItinerary
Suggest a food-focused itinerary in Penang.,PlanItinerary
What?? the best way to spend 5 days in London?,PlanItinerary
Create a 3-day itinerary for New York City.,PlanItinerary
I need a travel plan for Taiwan.,PlanItinerary
Can you plan a 2-day nature trip in Switzerland?,PlanItinerary
Suggest a romantic weekend plan in Santorini.,PlanItinerary
Give me an itinerary for exploring Vietnam.,PlanItinerary
What?? a good plan for a family trip to Seoul?,PlanItinerary
Help me plan a heritage trip in India.,PlanItinerary
I want a fun 4-day itinerary in Tokyo.,PlanItinerary
Propose an eco-tourism plan in Bali.,PlanItinerary
What to do in 3 days in Florence?,PlanItinerary
Help me spend a week in Japan.,PlanItinerary
What?? a luxury itinerary in Dubai?,PlanItinerary
I?? looking for a 2-day adventure in Chiang Mai.,PlanItinerary
Plan a trip to explore temples in Cambodia.,PlanItinerary
What?? a short trip plan for Hong Kong?,PlanItinerary
Suggest a kid-friendly plan for 3 days in Singapore.,PlanItinerary
Can I get a cultural weekend plan in Hoi An?,PlanItinerary
Make me an itinerary for a ski trip in Switzerland.,PlanItinerary
Give me a food itinerary in Bangkok.,PlanItinerary
What can I see in Athens in 3 days?,PlanItinerary
Show me a 5-day plan for exploring Malaysia.,PlanItinerary
Recommend a scenic road trip in New Zealand.,PlanItinerary
What?? a great 3-day itinerary for Prague?,PlanItinerary
Help me plan a solo trip to Seoul.,PlanItinerary
Make a travel plan for Taiwan?? east coast.,PlanItinerary
Design an itinerary for northern Thailand.,PlanItinerary
Suggest a mountain trip in South Korea.,PlanItinerary
Give me a relaxing beach plan in Boracay.,PlanItinerary
I want a 4-day exploration plan in Berlin.,PlanItinerary
Propose a hiking-focused trip in Taiwan.,PlanItinerary
Suggest a shopping itinerary in Bangkok.,PlanItinerary
I want to do a temple tour in Japan.,PlanItinerary
Recommend a budget trip plan for Vietnam.,PlanItinerary
What?? an Instagram-worthy itinerary for Paris?,PlanItinerary
Make a honeymoon itinerary in Bali.,PlanItinerary
Help me plan a cultural tour in Chiang Rai.,PlanItinerary
Can you draft a street food trip in Hanoi?,PlanItinerary
What?? a 3-day itinerary for Venice?,PlanItinerary
Plan a trip to explore street art in Melbourne.,PlanItinerary
I need a relaxing 2-day plan in Ubud.,PlanItinerary
What can I do in Kuala Lumpur over the weekend?,PlanItinerary
Suggest an itinerary for Taiwan?? night markets.,PlanItinerary
Plan a wine tasting trip in Tuscany.,PlanItinerary
Give me a day-by-day plan for a trip to Dubai.,PlanItinerary
Design a backpacking route in Vietnam.,PlanItinerary
Recommend a spiritual tour of Bali.,PlanItinerary
Plan a girls??weekend trip in Seoul.,PlanItinerary
Create a sightseeing itinerary for Tokyo.,PlanItinerary
What should I do in 5 days in Istanbul?,PlanItinerary
Recommend an architecture tour in Barcelona.,PlanItinerary
Make me a couple?? travel plan for Kyoto.,PlanItinerary
Help me explore Tokyo like a local.,PlanItinerary
What?? a good beach plan for the Maldives?,PlanItinerary
Suggest a weekend trip around Osaka.,PlanItinerary
Recommend a nature escape near Singapore.,PlanItinerary
Create a day trip plan in Seoul.,PlanItinerary
Plan an offbeat trip to Malaysia.,PlanItinerary
Suggest a night adventure in Taipei.,PlanItinerary
Help me plan a mix of food and history in Rome.,PlanItinerary
I want to explore historical sites in Athens.,PlanItinerary
Show me a relaxing weekend plan in Da Nang.,PlanItinerary
Recommend a cycling route in Taiwan.,PlanItinerary
Plan a cafe-hopping tour in Busan.,PlanItinerary
What?? a good 3-day adventure in Bali?,PlanItinerary
Help me spend 4 days in Korea efficiently.,PlanItinerary
Suggest a luxury travel plan for Bangkok.,PlanItinerary
I want to do a temple circuit in Kyoto.,PlanItinerary
Recommend a historical trip in Penang.,PlanItinerary
What can I do during a stopover in Tokyo?,PlanItinerary
Plan a sustainable travel itinerary in Bali.,PlanItinerary
Suggest an itinerary combining city and nature in Seoul.,PlanItinerary
I want to visit all major landmarks in Paris.,PlanItinerary
What?? a foodie trip plan in Ho Chi Minh City?,PlanItinerary
Help me plan a cultural weekend in Singapore.,PlanItinerary
What are the must-dos in Taipei in 3 days?,PlanItinerary
Recommend a beach + adventure combo in Phuket.,PlanItinerary
Make a scenic photography tour in Iceland.,PlanItinerary
Suggest a fast-paced sightseeing plan for London.,PlanItinerary
I want a peaceful countryside trip in Vietnam.,PlanItinerary
Create a travel plan around Kyoto?? temples and markets.,PlanItinerary
Plan a solo budget itinerary for Seoul.,PlanItinerary
Suggest a short but fun trip in Singapore.,PlanItinerary
Help me explore art museums in Amsterdam.,PlanItinerary
What?? a must-see-focused trip plan in Bangkok?,PlanItinerary
Make a relaxing spa and wellness itinerary in Bali.,PlanItinerary
Book me a flight to Tokyo next Friday.,BookFlight
I need a round-trip ticket to London.,BookFlight
Can you find a flight to New York for tomorrow?,BookFlight
Reserve a flight from Singapore to Seoul.,BookFlight
Get me a cheap flight to Bangkok.,BookFlight
I want to fly to Sydney next week.,BookFlight
Book a return flight from LA to Paris.,BookFlight
Find me the earliest flight to Hong Kong.,BookFlight
I?? looking for a flight to Dubai this weekend.,BookFlight
Show me flights from Singapore to Bali.,BookFlight
Book a one-way flight to Berlin.,BookFlight
I need to fly to Jakarta tomorrow morning.,BookFlight
What are the options for flights to Rome?,BookFlight
Can you schedule a flight to San Francisco?,BookFlight
Look up flights from KL to Singapore.,BookFlight
I want to book a flight to Mumbai for next Tuesday.,BookFlight
Arrange a morning flight to Manila.,BookFlight
Find flights to Toronto next month.,BookFlight
Can I get a red-eye flight to Chicago?,BookFlight
Show me direct flights to Melbourne.,BookFlight
I need a business class ticket to Frankfurt.,BookFlight
Book a budget flight to Hanoi.,BookFlight
Find me a flight to Osaka with luggage included.,BookFlight
Schedule a trip to Madrid next Friday.,BookFlight
Reserve two tickets to Seoul for Saturday.,BookFlight
I want to travel to Istanbul by air.,BookFlight
Get me an evening flight to Vancouver.,BookFlight
I need to book a flight for my vacation to Athens.,BookFlight
Can you check flights to Zurich?,BookFlight
Look for flights to New Delhi on the 5th.,BookFlight
Fly me to Barcelona in October.,BookFlight
Book my flight to Kuala Lumpur now.,BookFlight
I?? planning to fly to Cape Town next month.,BookFlight
Help me get to Tokyo next weekend.,BookFlight
Search for flights to Penang.,BookFlight
I need an early morning flight to Bangkok.,BookFlight
Get a ticket from Singapore to Ho Chi Minh City.,BookFlight
Book a flight leaving Friday night to Seoul.,BookFlight
What?? the best price for a flight to Amsterdam?,BookFlight
Find me a non-stop flight to Sydney.,BookFlight
I want to fly to Dubai from Singapore.,BookFlight
Secure me a ticket to Chiang Mai.,BookFlight
I?? looking for cheap airfare to Beijing.,BookFlight
Get me a flight back from Jakarta next Sunday.,BookFlight
Can I fly to Paris tomorrow?,BookFlight
I need a ticket from Bangkok to Singapore.,BookFlight
Book a flight that lands in Seoul in the evening.,BookFlight
Check round-trip flights to Tokyo.,BookFlight
Look up flights to Melbourne under $500.,BookFlight
Book an economy seat to Seoul.,BookFlight
Find flights from KL to Hong Kong on Monday.,BookFlight
Book a flight for two to Singapore.,BookFlight
Schedule a last-minute flight to Hanoi.,BookFlight
I need to get to Kuala Lumpur this Friday.,BookFlight
Can you book me a direct flight to Bangkok?,BookFlight
I want a flexible ticket to Rome.,BookFlight
Book a flight with meal service to Paris.,BookFlight
Get me to Osaka with the shortest layover.,BookFlight
Reserve a flight with extra baggage to London.,BookFlight
Book me a flight to Taipei next Wednesday.,BookFlight
Search for flights that arrive in Tokyo before noon.,BookFlight
I want a flight from KL to Penang tonight.,BookFlight
Find a seat on tomorrow?? flight to Seoul.,BookFlight
Help me book a trip to Sydney.,BookFlight
I?? flying to Jakarta next weekend??ind options.,BookFlight
Schedule a flight from Singapore to Krabi.,BookFlight
Book a one-way ticket to Bangkok for Saturday.,BookFlight
Show me evening flights to Seoul.,BookFlight
Can you find flights from KL to Tokyo this week?,BookFlight
I?? flying to New York next month.,BookFlight
Look up flights to Paris with good legroom.,BookFlight
Book me a premium economy flight to Milan.,BookFlight
I want to depart from Singapore to Osaka.,BookFlight
What flights are available to Frankfurt next Friday?,BookFlight
Help me fly to Bali this weekend.,BookFlight
Reserve me a seat to Beijing on the 20th.,BookFlight
Schedule a night flight to Seoul.,BookFlight
I?? traveling to Istanbul on a budget??ind deals.,BookFlight
Book a trip to Tokyo with one stop only.,BookFlight
I need two tickets to London for next Friday.,BookFlight
What are the earliest flights to Hong Kong?,BookFlight
Find me a return ticket from Tokyo.,BookFlight
Can I fly from Bangkok to Penang today?,BookFlight
Show me flights from KL to Phuket.,BookFlight
I want to travel to Seoul in late May.,BookFlight
Help me book a flight with in-flight Wi-Fi.,BookFlight
Schedule a quick flight to Jakarta.,BookFlight
Book me a flight to Kuala Lumpur ASAP.,BookFlight
What?? the cheapest ticket to Manila this weekend?,BookFlight
I want to fly to Jeju Island on Monday.,BookFlight
Book a ticket to Seoul that departs at night.,BookFlight
Get me a ticket to New Delhi with a window seat.,BookFlight
