id,persona,user_query
fce4017c-dff9-488c-a5ec-ed15336db201,Business Traveler,I need efficient travel routes and meeting spots in Singapore.
229d5e22-026e-4ddb-90a3-4540480b5e4a,Luxury Seeker,I want luxury shopping and spa retreats. What are the top recommendations?
d8e80322-02a1-4d14-bb4f-7abd8ad183fe,Backpacker,Exploring with minimal budget. What's free or low-cost and fun?
8834a4b4-5b42-49d6-9051-8f462636e3b7,Adventure Enthusiast,Any guided tours for active exploration?
b564d3cb-ce17-4079-b7f3-9fb24e359113,Budget Traveler,I need to plan a trip under SGD 500. Suggestions?
a33816bb-6ebc-49ce-b8bd-ec7d7801ac84,Adventure Enthusiast,Any guided tours for active exploration?
a6679dbe-b682-4334-bed8-b435d2d6616c,Adventure Enthusiast,"Looking for outdoor adventures — ziplining, hiking, biking, etc."
14f617d1-d69f-49ce-a76d-beaf9cfb71e4,Digital Nomad,Best co-working spaces in Singapore for a remote worker?
070a3174-2a84-4d75-b371-909eaada331c,Adventure Enthusiast,Any guided tours for active exploration?
b3774c88-9d69-4f90-99d8-95cb85e37af6,Luxury Seeker,I want luxury shopping and spa retreats. What are the top recommendations?
8f196b33-d93d-4fa8-aa57-021eb9c6803f,Wellness Traveler,Any holistic health centers or wellness resorts?
94cbfd41-cae4-4c5c-81ac-f84f594cc729,Business Traveler,I need efficient travel routes and meeting spots in Singapore.
89e7c5a6-ab6e-464d-8d40-76041ba3555b,Group Traveler,Large group accommodations and activities?
f2fec430-f2ba-4809-b138-d5a965099e3b,Wellness Traveler,How to spend a weekend detox and relax in the city?
6508fedc-db5b-44c0-b707-1b3674aa73d7,Adventure Enthusiast,What are the most thrilling activities to do in Singapore?
b1365e46-0909-41e9-8a99-a3d3fe0bc60f,Backpacker,Where can I find hostels and social events for travelers?
6aa912c0-b370-47d0-863c-f319c86cb88d,Backpacker,Exploring with minimal budget. What's free or low-cost and fun?
c77e144e-6475-4186-a944-2e54708e81e5,Solo Traveler,I’m traveling solo — safe and social places to explore?
a7215086-f7b2-454c-b3ce-5bfc1af6c3c0,Solo Traveler,Meetups or events for solo travelers in Singapore?
a04010a3-c42a-4a63-8be0-55e89ebb2cb1,Business Traveler,Coming for a business trip — recommend hotels near the CBD?
2d1c5282-edd5-4f10-9da4-635d46f06c16,Group Traveler,Coming with friends — what’s fun for groups?
be51ad13-4f0a-4b69-a486-a052af13f59d,Budget Traveler,Where to eat well and sleep cheap in Singapore?
65e6a973-99c3-42bc-8c47-4ce23211b206,Group Traveler,Coming with friends — what’s fun for groups?
a82e0a4e-50aa-488d-8a04-35f12331e781,Digital Nomad,Best co-working spaces in Singapore for a remote worker?
3e7aeb07-98fe-496e-9543-b3b8713a155a,Luxury Seeker,I want luxury shopping and spa retreats. What are the top recommendations?
6853b8bf-9887-473d-af09-aef0e6228e92,Budget Traveler,Where to eat well and sleep cheap in Singapore?
2db0e050-2b57-4072-ad21-cbe61cc3b9df,Business Traveler,I need efficient travel routes and meeting spots in Singapore.
df5b546f-673c-4e4d-acaf-a8437e83ba99,Budget Traveler,I need to plan a trip under SGD 500. Suggestions?
e06c0e2d-d465-4335-a804-4af563c21a4a,Budget Traveler,Where to eat well and sleep cheap in Singapore?
a3dcc871-6e33-4055-b174-a6f8657f2a3b,Budget Traveler,Where to eat well and sleep cheap in Singapore?
1e2d0d06-1a59-4b02-8e41-03724719859f,Backpacker,Exploring with minimal budget. What's free or low-cost and fun?
4193787c-7929-4f6d-ab53-330abe6dccc3,Backpacker,I'm backpacking through Singapore. Got tips on cheap stays and local eats?
7af4f4e4-3e97-410b-8814-a922e9c8513b,Digital Nomad,Places to meet other remote professionals?
99df75a9-63d6-4331-9d10-29398d8d2362,Wellness Traveler,How to spend a weekend detox and relax in the city?
388e6288-ef64-443e-935d-d3be305f8525,Group Traveler,Large group accommodations and activities?
30d88f51-bcdb-43ce-8ef8-3bcaa37364bd,Adventure Enthusiast,What are the most thrilling activities to do in Singapore?
