user_query,persona
Planning a trip to the Singapore for 10 days focused on art museums.,Culture Explorer;Shopper
"For my two weeks trip to Singapore, I’m interested in art museums.",Culture Explorer;Shopper
I want to spend two weeks in Singapore enjoying art museums.,Adventure Seeker;Culture Explorer;Luxury Seeker;Shopper
"For my 10 days trip to Singapore, I’m interested in ancient sites.",Adventure Seeker;Culture Explorer
"For my 10 days trip to the Singapore, I’m interested in historic tours.",Adventure Seeker;Culture Explorer;Family Traveler;Foodie
I want to spend several months in Asia enjoying historic tours.,Culture Explorer
"As a culture seeker, I want to explore art museums when I visit the Singapore.",Culture Explorer
I am a culture seeker looking for historic tours in Singapore for 10 days.,Adventure Seeker;Culture Explorer;Family Traveler;Foodie
"As a culture seeker, I want to explore art museums when I visit Singapore.",Culture Explorer
Suggest some historic tours destinations in the Singapore suitable for a culture seeker.,Adventure Seeker;Culture Explorer;Family Traveler;Foodie
"As a culture seeker, I want to explore ancient sites when I visit Singapore.",Adventure Seeker;Culture Explorer;Family Traveler
Planning a trip to Singapore for several months focused on art museums.,Culture Explorer;Luxury Seeker;Shopper
What are the best places in Singapore to experience art museums?,Culture Explorer;Family Traveler;Foodie;Shopper
I’m traveling to Singapore soon and want to focus on art museums.,Culture Explorer;Shopper
"As a culture seeker, I want to explore ancient sites when I visit the Singapore.",Adventure Seeker;Culture Explorer;Family Traveler
"For my 10 days trip to Singapore, I’m interested in local traditions.",Culture Explorer;Foodie
I am a culture seeker looking for art museums in Singapore for 10 days.,Culture Explorer;Shopper
Suggest some historic tours destinations in Singapore suitable for a culture seeker.,Adventure Seeker;Culture Explorer;Family Traveler;Foodie
Where can a culture seeker find the best historic tours in Asia?,Culture Explorer
Where can a culture seeker find the best art museums in the Singapore?,Culture Explorer;Family Traveler;Foodie;Shopper
Planning a trip to Singapore for a month focused on art museums.,Culture Explorer;Luxury Seeker;Shopper
"For my a weekend trip to Singapore, I’m interested in art museums.",Culture Explorer;Shopper
"For my a month trip to Singapore, I’m interested in art museums.",Culture Explorer;Shopper
Planning a trip to Singapore for two weeks focused on art museums.,Culture Explorer;Shopper
I’m traveling to the Singapore soon and want to focus on street food.,Backpacker;Foodie;Shopper
"For my 10 days trip to Singapore, I’m interested in cooking classes.",Backpacker;Culture Explorer;Foodie
I’m traveling to Singapore soon and want to focus on food markets.,Backpacker;Culture Explorer;Foodie;Shopper
I’m traveling to the Singapore soon and want to focus on wine tasting.,Culture Explorer;Foodie;Luxury Seeker;Shopper
