user_query,persona
"Planning to explore top shopping malls and local boutiques Hoping to visit museums, temples, and historical districts Want family-oriented attractions and places for kids to enjoy.",Family Traveler;Shopper
"Seeking premium experiences like rooftop bars, luxury hotels, and designer stores Looking for budget accommodations and authentic street food Searching for the best hawker food and vegetarian options.",Backpacker;Foodie;Luxury Seeker
"Interested in solo-friendly and safe spots to explore Hoping to visit museums, temples, and historical districts.",Solo Traveler
"Planning to explore top shopping malls and local boutiques Excited to try ziplining, night safaris, or hiking trails Hoping to visit museums, temples, and historical districts.",Adventure Seeker;Shopper
"Seeking premium experiences like rooftop bars, luxury hotels, and designer stores Planning to explore top shopping malls and local boutiques Interested in solo-friendly and safe spots to explore.",Shopper;Solo Traveler;Luxury Seeker
"Seeking premium experiences like rooftop bars, luxury hotels, and designer stores Looking for budget accommodations and authentic street food Need recommendations for co-working spaces or laptop-friendly cafes.",Luxury Seeker;Digital Nomad;Backpacker
"Seeking premium experiences like rooftop bars, luxury hotels, and designer stores Interested in solo-friendly and safe spots to explore Need recommendations for co-working spaces or laptop-friendly cafes.",Solo Traveler;Luxury Seeker;Digital Nomad
"Seeking premium experiences like rooftop bars, luxury hotels, and designer stores Interested in solo-friendly and safe spots to explore.",Luxury Seeker;Solo Traveler
"Excited to try ziplining, night safaris, or hiking trails Hoping to visit museums, temples, and historical districts Want family-oriented attractions and places for kids to enjoy.",Adventure Seeker;Family Traveler
"Want peaceful nature spots and places to unwind quietly Planning to explore top shopping malls and local boutiques Hoping to visit museums, temples, and historical districts.",Relaxation Seeker;Shopper
Planning to explore top shopping malls and local boutiques Want family-oriented attractions and places for kids to enjoy.,Shopper;Family Traveler
"Looking for budget accommodations and authentic street food Interested in solo-friendly and safe spots to explore Excited to try ziplining, night safaris, or hiking trails.",Adventure Seeker;Backpacker;Solo Traveler
"Looking for budget accommodations and authentic street food Searching for the best hawker food and vegetarian options Excited to try ziplining, night safaris, or hiking trails.",Adventure Seeker;Foodie;Backpacker
"Hoping to visit museums, temples, and historical districts Need recommendations for co-working spaces or laptop-friendly cafes.",Digital Nomad
